ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/3034/Ref_DB/EMBL/added.2000000049
ref_EMBL_files	GU907114.embl GU907115.embl GU907116.embl GU907117.embl GU907118.embl GU907119.embl GU907120.embl GU907121.embl
ref_bases	13609
ref_sequences	8
ref_bases_assembled	12643
ref_sequences_assembled	7
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	964
assembly_bases	75579
assembly_bases_in_ref	43730
assembly_contigs	125
assembly_contigs_hit_ref	108
assembly_bases_reads_disagree	86
assembly_sum_longest_match_each_segment	13484
cds_number	11
cds_assembled	10
cds_assembled_ok	0
gage_Missing_Reference_Bases	966
gage_Missing_Assembly_Bases	31095
gage_Missing_Assembly_Contigs	22
gage_Duplicated_Reference_Bases	31347
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	24862
gage_Avg_Idy	98.57
gage_SNPs	170
gage_Indels_<_5bp	7
gage_Indels_>=_5	0
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	30
ratt_elements_transferred	29
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	1
ratt_elements_not_transferred	1
ratt_gene_models_to_transfer	11
ratt_gene_models_transferred	11
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
