ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/3034/Ref_DB/EMBL/added.2000000069
ref_EMBL_files	KF014200.embl KF014333.embl KF014466.embl KF014599.embl KF014732.embl KF014865.embl KF014998.embl KF015131.embl
ref_bases	13627
ref_sequences	8
ref_bases_assembled	13448
ref_sequences_assembled	8
ref_sequences_assembled_ok	6
ref_bases_assembler_missed	179
assembly_bases	17350
assembly_bases_in_ref	13909
assembly_contigs	17
assembly_contigs_hit_ref	10
assembly_bases_reads_disagree	1
assembly_sum_longest_match_each_segment	13616
cds_number	12
cds_assembled	12
cds_assembled_ok	7
gage_Missing_Reference_Bases	179
gage_Missing_Assembly_Bases	2989
gage_Missing_Assembly_Contigs	7
gage_Duplicated_Reference_Bases	918
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	259
gage_Avg_Idy	98.51
gage_SNPs	199
gage_Indels_<_5bp	0
gage_Indels_>=_5	0
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	35
ratt_elements_transferred	35
ratt_elements_transferred_partially	0
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	12
ratt_gene_models_transferred	12
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
