ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000048
ref_EMBL_files	DQ207941.embl
ref_bases	8835
ref_sequences	1
ref_bases_assembled	3759
ref_sequences_assembled	0
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	4956
assembly_bases	266276
assembly_bases_in_ref	3751
assembly_contigs	694
assembly_contigs_hit_ref	2
assembly_bases_reads_disagree	1150
assembly_sum_longest_match_each_segment	2376
cds_number	7
cds_assembled	1
cds_assembled_ok	1
gage_Missing_Reference_Bases	6839
gage_Missing_Assembly_Bases	264284
gage_Missing_Assembly_Contigs	692
gage_Duplicated_Reference_Bases	0
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	1774
gage_Avg_Idy	92.0
gage_SNPs	154
gage_Indels_<_5bp	6
gage_Indels_>=_5	1
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	19
ratt_elements_transferred	10
ratt_elements_transferred_partially	2
ratt_elements_split	0
ratt_parts_of_elements_not_transferred	9
ratt_elements_not_transferred	7
ratt_gene_models_to_transfer	7
ratt_gene_models_transferred	4
ratt_gene_models_transferred_partially	1
ratt_exons_not_transferred_from_partial_matches	1
ratt_gene_models_not_transferred	2
