ENA_ID	Assembler	CPU(s)	Wall(s)	RAM(GB)
ERR732254	IVA.c5r2	12307.33	3334	0.558
ERR732254	IVA	11618.15	3069	0.559
ERR732254	PRICE	8332.28	1851	0.86
ERR732254	Trinity	3701.81	760	17.267
ERR732254	VICUNA.80	7710.51	7743	1.012
ERR732254	VICUNA.90	8181.63	8068	1.11
ERR732255	IVA.c5r2	37534.23	8694	0.584
ERR732255	IVA	18949.96	4633	0.461
ERR732255	PRICE	32301.52	6102	1.393
ERR732255	Trinity	3516.86	760	17.267
ERR732255	VICUNA.80	8356.04	8370	1.112
ERR732255	VICUNA.90	9636.82	9507	1.1
ERR732256	IVA.c5r2	29675.03	7744	0.667
ERR732256	IVA	13458.68	3653	0.651
ERR732256	PRICE	8939.29	2202	0.821
ERR732256	Trinity	5019.61	932	17.262
ERR732256	VICUNA.80	8116.84	7964	1.508
ERR732256	VICUNA.90	8127.81	7926	1.511
ERR732257	IVA.c5r2	37479.39	10399	0.677
ERR732257	IVA	14950.5	4859	0.606
ERR732257	PRICE	20436.07	5415	1.02
ERR732257	Trinity	4823.66	963	17.267
ERR732257	VICUNA.80	6354.34	6262	1.208
ERR732257	VICUNA.90	2240.86	2156	1.408
ERR732258	IVA.c5r2	37126.3	12573	0.833
ERR732258	IVA	16183.93	5536	0.673
ERR732258	PRICE	4992.01	1211	0.792
ERR732258	Trinity	4713.3	923	17.267
ERR732258	VICUNA.80	5026.79	4923	1.279
ERR732258	VICUNA.90	5616.43	5478	1.111
ERR732259	IVA.c5r2	27218.25	6502	0.64
ERR732259	IVA	11069.85	2998	0.652
ERR732259	PRICE	15167.34	3085	0.884
ERR732259	Trinity	4055.66	821	17.267
ERR732259	VICUNA.80	6375.37	6269	1.473
ERR732259	VICUNA.90	7120.46	6983	1.28
ERR732260	IVA.c5r2	48032.5	14131	0.774
ERR732260	IVA	15251.8	4605	0.654
ERR732260	PRICE	6614.3	1534	0.967
ERR732260	Trinity	5824.74	1049	17.267
ERR732260	VICUNA.80	7162.64	7034	1.162
ERR732260	VICUNA.90	8778.33	8628	1.17
ERR732261	IVA.c5r2	46376.91	11201	0.59
ERR732261	IVA	19876.88	4558	0.486
ERR732261	PRICE	33768.68	6089	1.085
ERR732261	Trinity	3866.71	753	17.267
ERR732261	VICUNA.80	33822.76	33142	1.336
ERR732261	VICUNA.90	15251.9	15398	1.164
ERR732262	IVA.c5r2	26952.84	7199	0.621
ERR732262	IVA	12276.69	3368	0.514
ERR732262	PRICE	146390.8	50739	2.68
ERR732262	Trinity	3709.72	791	17.263
ERR732262	VICUNA.80	14718.02	14396	1.18
ERR732262	VICUNA.90	9212.13	9048	1.179
ERR732263	IVA.c5r2	22273.6	6872	0.617
ERR732263	IVA	11576.09	3824	0.549
ERR732263	PRICE	5672.13	1341	0.778
ERR732263	Trinity	3217.43	629	17.267
ERR732263	VICUNA.80	12052.55	11753	1.326
ERR732263	VICUNA.90	4920.6	4800	1.137
ERR732245	IVA.c5r2	42537.27	10996	0.673
ERR732245	IVA	18637.04	5447	0.669
ERR732245	PRICE	75705.89	16870	1.39
ERR732245	Trinity	3324.72	643	17.267
ERR732245	VICUNA.80	20498.89	20113	1.395
ERR732245	VICUNA.90	8826.32	8717	1.201
ERR732264	IVA.c5r2	17751.25	4599	0.602
ERR732264	IVA	9225.23	2398	0.43
