ENA_ID	Assembler	CPU(s)	Wall(s)	RAM(GB)
ERR732073	IVA.c5r2	106178.69	25269	0.883
ERR732073	IVA	74753.57	18919	0.88
ERR732073	PRICE	13943.54	4299	1.634
ERR732073	Trinity	20941.28	7405	17.266
ERR732073	VICUNA.80	1233.56	1172	2.239
ERR732073	VICUNA.90	1269.18	1184	2.238
ERR732074	IVA.c5r2	60720.33	17302	0.975
ERR732074	IVA	60612.13	17986	0.834
ERR732074	PRICE	17796.09	4348	2.187
ERR732074	Trinity	12767.27	3054	17.267
ERR732074	VICUNA.80	3328.91	3241	1.884
ERR732074	VICUNA.90	2449.34	2374	1.983
ERR732076	IVA.c5r2	42149.82	10745	0.773
ERR732076	IVA	41029.94	11067	0.73
ERR732076	PRICE	9452.82	2240	2.471
ERR732076	Trinity	8944.82	1817	17.263
ERR732076	VICUNA.80	1312.69	1203	2.583
ERR732076	VICUNA.90	1371.23	1337	2.583
ERR732077	IVA.c5r2	70078.7	19442	0.924
ERR732077	IVA	54929.95	17010	0.924
ERR732077	PRICE	7387.55	1936	1.482
ERR732077	Trinity	10043.22	1911	17.267
ERR732077	VICUNA.80	1145.9	1074	2.353
ERR732077	VICUNA.90	1139.3	1209	2.352
ERR732078	IVA.c5r2	52221.21	13735	0.803
ERR732078	IVA	36979.04	11836	0.754
ERR732078	PRICE	18672.03	4039	2.876
ERR732078	Trinity	11164.27	2078	17.267
ERR732078	VICUNA.80	1066.64	984	2.11
ERR732078	VICUNA.90	1251.23	1249	2.11
ERR732079	IVA.c5r2	33652.82	10447	0.939
ERR732079	IVA	25205.55	7871	0.721
ERR732079	PRICE	5388.29	1320	0.93
ERR732079	Trinity	5676.59	1257	17.267
ERR732079	VICUNA.80	275.05	239	1.261
ERR732079	VICUNA.90	298.89	257	1.262
ERR732080	IVA.c5r2	111882.14	29840	1.054
ERR732080	IVA	79216.07	24542	1.029
ERR732080	PRICE	39444.63	8854	1.967
ERR732080	Trinity	11746.97	2211	17.266
ERR732080	VICUNA.80	1092.02	998	2.324
ERR732080	VICUNA.90	1009.27	908	2.324
ERR732081	IVA.c5r2	45130.28	11214	0.769
ERR732081	IVA	30412.47	9229	0.742
ERR732081	PRICE	7560.12	1977	1.752
ERR732081	Trinity	9553.94	2009	17.266
ERR732081	VICUNA.80	1492.61	1399	2.271
ERR732081	VICUNA.90	1464.7	1394	2.27
ERR732082	IVA.c5r2	57582.59	19676	0.987
ERR732082	IVA	61477.31	21144	0.966
ERR732082	PRICE	13368.1	2940	0.967
ERR732082	Trinity	8049.22	1380	17.266
ERR732082	VICUNA.80	231.72	197	1.043
ERR732082	VICUNA.90	255.08	218	1.042
ERR732083	IVA.c5r2	37843.67	11105	1.1
ERR732083	IVA	28167.64	9115	1.057
ERR732083	PRICE	4740.07	1459	1.023
ERR732083	Trinity	6640.02	1374	17.261
ERR732083	VICUNA.80	665.76	611	2.1
ERR732083	VICUNA.90	661.61	610	1.721
ERR732085	IVA.c5r2	18012.03	6587	0.71
ERR732085	IVA	20858.15	8535	0.849
ERR732085	PRICE	11104.53	2339	1.042
ERR732085	Trinity	4518.0	777	17.266
ERR732085	VICUNA.80	164.27	170	0.619
ERR732085	VICUNA.90	177.26	169	0.591
ERR732086	IVA.c5r2	27238.22	8918	0.848
ERR732086	IVA	14791.61	5106	0.682
ERR732086	PRICE	6505.28	1719	1.073
ERR732086	Trinity	7109.28	1361	17.266
ERR732086	VICUNA.80	290.15	264	1.033
ERR732086	VICUNA.90	293.11	255	1.034
ERR732087	IVA.c5r2	43334.3	13678	0.954
ERR732087	IVA	19732.68	5433	0.745
