ref_EMBL_dir	/lustre/scratch108/parasites/mh12/IVA/IVA-paper/479/Ref_DB/EMBL/added.2000000064
ref_EMBL_files	AB485648.embl
ref_bases	9633
ref_sequences	1
ref_bases_assembled	9040
ref_sequences_assembled	1
ref_sequences_assembled_ok	0
ref_bases_assembler_missed	145
assembly_bases	317040
assembly_bases_in_ref	29810
assembly_contigs	2550
assembly_contigs_hit_ref	8
assembly_bases_reads_disagree	112
assembly_sum_longest_match_each_segment	9119
cds_number	9
cds_assembled	4
cds_assembled_ok	0
gage_Missing_Reference_Bases	2239
gage_Missing_Assembly_Bases	291271
gage_Missing_Assembly_Contigs	2545
gage_Duplicated_Reference_Bases	18371
gage_Compressed_Reference_Bases	0
gage_Bad_Trim	3339
gage_Avg_Idy	89.4
gage_SNPs	756
gage_Indels_<_5bp	30
gage_Indels_>=_5	4
gage_Inversions	0
gage_Relocation	0
gage_Translocation	0
ratt_elements_found	21
ratt_elements_transferred	21
ratt_elements_transferred_partially	0
ratt_elements_split	6
ratt_parts_of_elements_not_transferred	0
ratt_elements_not_transferred	0
ratt_gene_models_to_transfer	9
ratt_gene_models_transferred	9
ratt_gene_models_transferred_partially	0
ratt_exons_not_transferred_from_partial_matches	0
ratt_gene_models_not_transferred	0
