ENA_ID	Assembler	trimmed_reads	reads_map_ref	reads_map_assembly	ref_bases	ref_sequences	ref_bases_assembled	ref_sequences_assembled	ref_sequences_assembled_ok	ref_bases_assembler_missed	assembly_bases	assembly_bases_in_ref	assembly_contigs	assembly_contigs_hit_ref	assembly_bases_reads_disagree	assembly_sum_longest_match_each_segment	cds_number	cds_assembled	cds_assembled_ok	gage_Missing_Reference_Bases	gage_Missing_Assembly_Bases	gage_Missing_Assembly_Contigs	gage_Duplicated_Reference_Bases	gage_Compressed_Reference_Bases	gage_Bad_Trim	gage_Avg_Idy	gage_SNPs	gage_Indels_<_5bp	gage_Indels_>=_5	gage_Inversions	gage_Relocation	gage_Translocation	ratt_elements_found	ratt_elements_transferred	ratt_elements_transferred_partially	ratt_elements_split	ratt_parts_of_elements_not_transferred	ratt_elements_not_transferred	ratt_gene_models_to_transfer	ratt_gene_models_transferred	ratt_gene_models_transferred_partially	ratt_exons_not_transferred_from_partial_matches	ratt_gene_models_not_transferred
ERR732281	IVA	696882	658609	676048	13322	8	13322	8	4	0	15284	14400	13	12	1	12981	12	12	5	0	525	0	966	0	525	99.68	42	0	0	0	0	0	43	42	0	0	1	1	12	12	0	0	0
ERR732281	IVA.c5r2	696882	658779	680998	13322	8	13322	8	6	0	14779	13741	12	10	1	13563	12	12	6	0	595	0	862	0	595	99.68	43	0	0	0	0	0	43	43	0	0	0	0	12	12	0	0	0
ERR732281	PRICE	696882	658846	687926	13322	8	11872	6	1	1450	60266	38443	94	87	55	12314	12	10	1	1450	22088	9	25640	0	20057	99.39	49	8	0	0	0	0	43	43	0	0	0	0	12	12	0	0	0
ERR732281	Inchworm	696882	658771	687309	13322	8	13309	8	0	13	284612	23923	3210	69	87	11515	12	12	0	13	267604	3187	3338	0	1275	99.64	42	0	0	0	0	0	43	43	0	0	0	0	12	12	0	0	0
ERR732281	Trinity	696882	659028	663665	13322	8	11248	7	1	2074	51994	18479	103	24	78	11066	12	10	1	2074	33445	79	7261	0	1232	99.66	39	0	0	0	0	0	43	36	1	0	7	6	12	9	1	1	2
ERR732281	VICUNA.80	696882	658953	660850	13322	8	12220	6	0	1102	23323	19724	41	34	14	10286	12	9	0	1162	3550	6	6462	0	1367	99.64	33	0	0	0	0	0	43	41	0	5	2	2	12	11	0	0	1
ERR732281	VICUNA.90	696882	659046	652193	13322	8	11873	5	0	1449	23985	20535	49	42	15	8732	12	8	0	1369	3156	5	7552	0	1416	99.57	32	5	0	0	0	0	43	37	0	5	6	6	12	10	0	0	2
ERR732280	IVA	829244	793697	803857	13578	8	13429	8	6	145	16380	14464	14	10	0	12916	10	10	6	149	1916	4	116	0	158	98.77	147	0	0	0	0	0	33	33	0	0	0	0	10	10	0	0	0
ERR732280	IVA.c5r2	829244	793695	806994	13578	8	13454	8	6	120	18442	14623	18	10	3	13106	10	10	6	124	3819	8	116	0	298	98.76	146	0	0	0	0	0	33	32	0	0	1	1	10	10	0	0	0
ERR732280	PRICE	829244	793729	817351	13578	8	13574	8	0	0	72426	51706	134	125	88	13007	10	10	0	4	21174	15	36954	0	17059	98.41	193	10	0	0	0	0	33	33	0	2	0	0	10	10	0	0	0
