ENA_ID	Ref_IDs	Ref_length	Good_bases	Pass_QC	Median_insert	Raw_reads	Trimmed_reads	Trimmed_reads_mapped_to_ref
ERR732073	AY713416	8720	8666	1	275	2154896	2153434	1847389
ERR732074	DQ207941	8835	8749	1	275	1766754	1765392	1298257
ERR732075	JX140669	8978	8373	0	265	676542	675078	2253
ERR732076	EU861977	9781	9146	1	275	2306272	2305022	1900768
ERR732077	DQ207941	8835	8652	1	275	2085656	2084004	1660703
ERR732078	DQ207941	8835	8643	1	275	2083562	2082262	1686770
ERR732079	JX140669	8978	8787	1	275	824478	823458	504932
ERR732080	JX140669	8978	8834	1	275	2118010	2114396	1461888
ERR732081	AY713416	8720	8666	1	275	1956536	1955432	1644474
ERR732082	EU884500	8921	8846	1	265	870334	868158	101469
ERR732083	AY423387	9359	9096	1	285	1268164	1265442	1136075
ERR732084	JQ403037	8847	4261	0	275	277348	275338	1847
ERR732085	JX140656	8958	8838	1	265	489614	487650	133635
ERR732086	JX140656	8958	8840	1	275	797132	794454	482240
ERR732087	JX140656	8958	8840	1	275	1004324	998896	612422
ERR732088	EU884500	8921	8891	1	285	1653120	1648268	1481831
ERR732089	AY795904	8836	8751	1	275	1135978	1133788	701029
ERR732090	AY795904	8836	8751	1	275	1423734	1420628	948762
ERR732091	HQ215553	8857	8760	1	285	1243178	1241052	1079417
ERR732092	DQ234790	9056	9010	1	275	1470444	1467468	1240944
ERR732093	JX500708	9165	7658	0	295	1038198	1032530	177480
ERR732094	JX140669	8978	8879	1	295	1797610	1795162	1545549
ERR732095	AY713416	8720	8666	1	285	1571646	1569016	1289715
ERR732096	AY713416	8720	8666	1	285	1568970	1565146	1389115
ERR732097	JX140669	8978	8866	1	285	1642472	1639092	1471025
ERR732098	JX140656	8958	8810	1	275	2119944	2117882	1236409
ERR732099	AY795904	8836	8567	1	265	2853094	2849832	2172046
ERR732100	AF492624	9017	8727	1	265	1210908	1207946	540882
ERR732101	AF492624	9017	8751	1	275	3733452	3724150	2633095
ERR732102	JX140669	8978	8897	1	275	2651522	2646512	1830610
ERR732103	AY795904	8836	8730	1	265	1424900	1420312	438009
ERR732104	JX140669	8978	8840	1	275	3867690	3865306	3390084
ERR732105	DQ207941	8835	8715	1	275	2476048	2472916	1916242
ERR732106	AY253311	8775	8645	1	245	304630	304334	132726
ERR732107	AF385936	9704	9107	1	265	455164	454902	69461
ERR732108	JF683807	8140	7957	1	255	256708	256468	122569
ERR732109	AB287363	9667	4580	0	245	249964	249660	112100
ERR732110	AB485648	9633	8930	1	245	536698	536418	412914
ERR732111	AB485648	9633	8880	1	255	674418	673916	382927
ERR732112	JN029801	8807	7705	0	255	354384	353910	59359
ERR732113	AY795904	8836	6879	0	255	390106	389632	187250
ERR732114	AY795904	8836	8558	1	245	516324	515828	282813
ERR732115	AY795904	8836	7817	0	245	223334	223028	102537
ERR732116	AY795904	8836	8601	1	255	589696	589272	417574
ERR732117	AY535660	9229	4890	0	265	358508	357954	42408
ERR732118	AF492624	9017	8615	1	265	534792	534138	121765
ERR732119	JX140669	8978	7133	0	265	443390	442940	201775
ERR732120	JN029801	8807	6853	0	265	297880	297632	174395
ERR732121	AY795904	8836	6956	0	265	592230	591672	497497
ERR732122	EU170155	9063	6888	0	265	155462	155228	18043
ERR732123	EU170155	9063	7488	0	265	237208	236682	38517
ERR732124	GU237072	9077	1913	0	265	171900	171644	96778
ERR732125	FJ623487	8762	168	0	255	296028	295642	135
ERR732126	FJ670522	9028	7259	0	255	265424	265206	158162
ERR732127	AF385936	9704	2244	0	275	147750	147344	57544
ERR732128	JF683807	8140	7064	0	275	481118	480302	88092
ERR732129	GU362881	8911	8905	1	255	562420	562180	487771
ERR732130	JQ341411	9128	9001	1	265	362820	362578	259049
ERR732131	GU362881	8911	8911	1	255	518234	517924	417338
ERR732132	GU362881	8911	8911	1	265	695448	695090	648805
ERR732065	JQ403037	8847	7621	0	375	1384588	1383652	1159151
ERR732070	DQ676872	8667	7534	0	375	1178962	1178822	1001739
ERR732071	GU237072	9077	7460	0	365	1782480	1781240	1581563
ERR732072	AY586542	9056	8020	0	385	1554622	1554560	1522689
ERR732066	AY561236	8787	6907	0	375	1612542	1612318	1459524
ERR732067	L39106	9201	5472	0	355	1611472	1610364	1593684
ERR732068	GQ372987	8926	4467	0	365	1481756	1479538	1242156
ERR732069	AF286230	8978	5348	0	365	1642692	1641380	1333018
